Group,Time,Id,User,Message
"group 1","11/8/2019 3:05:04 PM","","System",">> User 1 has Connected"
"group 1","11/8/2019 3:08:26 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 1","11/8/2019 3:08:26 PM","","System",">> User 2 has Connected"
"group 1","11/8/2019 3:08:39 PM","cc2","User 2","hello! How are you?"
"group 1","11/8/2019 3:08:59 PM","cc1","User 1","hi! good, how are you?"
"group 1","11/8/2019 3:09:15 PM","cc2","User 2","Pretty good! How is your dY GOING?"
"group 1","11/8/2019 3:09:31 PM","cc2","User 2","oops sorry I clicked caps lock accidentally haha"
"group 1","11/8/2019 3:09:35 PM","cc1","User 1","Pretty good hahaha"
"group 1","11/8/2019 3:10:05 PM","cc2","User 2","Omg i saw it snowed a little tody"
"group 1","11/8/2019 3:10:17 PM","cc2","User 2","wow sorry for the spelling"
"group 1","11/8/2019 3:10:20 PM","cc1","User 1","Ik! so exciting"
"group 1","11/8/2019 3:10:33 PM","cc1","User 1","ahahaha no problem!"
"group 1","11/8/2019 3:10:46 PM","cc2","User 2","Ik it's so pretty! I hope the winter isn't too rough"
"group 1","11/8/2019 3:11:08 PM","cc1","User 1","Yeah same"
"group 1","11/8/2019 3:11:28 PM","cc2","User 2","What are you doing today? Any plans?"
"group 1","11/8/2019 3:12:11 PM","cc1","User 1","Not sure yet, hbu?"
"group 1","11/8/2019 3:12:44 PM","cc2","User 2","I just have class in the afternoon, and then I'm driving home to visit my family :)"
"group 1","11/8/2019 3:13:04 PM","cc1","User 1","That's nice!"
"group 1","11/8/2019 3:13:28 PM","cc2","User 2","Yeah! I miss them, they're pretty awesome"
"group 1","11/8/2019 3:14:18 PM","","System",">> This chat has now expired."
